Symbol,RebateRate,FeeRate,Available
A,-0.17,0.25,10000000
AA,-0.17,0.25,10000000
AAA,-0.956,1.036,100
AAAU,-2.054,2.134,400000
AABB,-16.516,16.596,10000000
AABVF,-0.17,0.25,15000
AACAY,-8.3681,8.4481,200
AACG,-2.3092,2.3892,250000
AACQ,-0.523,0.603,700000
AACQU,-0.17,0.25,15000
AACTF,-4.0211,4.1011,10000
AADR,-5.8299,5.9099,15000
AAGC,-1.211,1.291,700000
AAGIY,-0.523,0.603,600000
AAIC,-0.3184,0.3984,750000
AAIC PRB,-18.9634,19.0434,25000
AAIC PRC,-41.7264,41.8064,80000
AAL,-0.4093,0.4893,3800000
AAMC,-0.6962,0.7762,40000
AAME,-0.2466,0.3266,300000
AAMMF,-0.8409,0.9209,70000
AAMUQ,-0.17,0.25,350000
AAN,-0.3065,0.3865,2000000
AAOI,-0.5676,0.6476,1400000
AAON,-0.17,0.25,1900000
AAP,-0.17,0.25,2600000
AAPJ,-2.813,2.893,45000
AAPL,-0.17,0.25,10000000
AAPT,-0.22,0.3,1300000
AASL,-0.17,0.25,1000
AAT,-0.2115,0.2915,1100000
AATRL,-0.7977,0.8777,550000
AATV,-0.9586,1.0386,7000
AAU,-6.9456,7.0256,750000
AAVMY,-63.4132,63.4932,5000
AAVVF,-2.6246,2.7046,250000
AAWW,-0.17,0.25,2400000
AAXJ,-2.1305,2.2105,300000
AAXN,-0.17,0.25,1400000
AAZZF,-0.8384,0.9184,15000
AB,-1.0065,1.0865,300000
ABB,-0.6834,0.7634,400000
ABBRF,-7.5405,7.6205,15000
ABBV,-0.17,0.25,10000000
ABC,-0.17,0.25,5400000
ABCB,-0.3065,0.3865,5100000
ABCED,-0.4147,0.4947,90000
ABCFF,-2.5921,2.6721,40000
ABCL,-30.8,30.88,50000
ABCM,-1.0611,1.1411,200000
ABCP,-2.1505,2.2305,100000
ABEO,-0.3065,0.3865,950000
ABEQ,-11.5106,11.5906,8000
ABEV,-0.17,0.25,7900000
ABG,-0.17,0.25,1200000
ABILF,-102.2758,102.3558,75000
ABIO,-1.274,1.354,150000
ABLT,-0.17,0.25,400
ABM,-0.17,0.25,4300000
ABMBF,-1.8257,1.9057,100000
ABMC,-2.787,2.867,400000
ABMD,-0.17,0.25,1100000
ABML,-7.8845,7.9645,10000000
ABNAF,-2.6831,2.7631,100000
ABNB,-0.4156,0.4956,1500000
ABPR,-0.17,0.25,100000
ABQQ,-1.336,1.416,1000000
ABR,-0.3065,0.3865,2200000
ABR PRA,-1.5009,1.5809,15000
ABR PRB,-22.9394,23.0194,25000
ABR PRC,-12.4632,12.5432,10000
ABST,-0.2859,0.3659,4000000
ABT,-0.17,0.25,10000000
ABTO,-0.5397,0.6197,2000
ABTX,-0.1983,0.2783,850000
ABUS,-0.8552,0.9352,150000
ABVC,-1.2444,1.3244,2000
ABVG,-0.17,0.25,3700000
AC,-0.4147,0.4947,40000
ACA,-0.17,0.25,3100000
ACAC,-4.5897,4.6697,3000
ACAD,-0.17,0.25,3000000
ACAI,-1.488,1.568,55000
ACAM,-3.2709,3.3509,650000
ACAMU,-20.9827,21.0627,400
ACAN,-1.4649,1.5449,25000
ACB,-8.2998,8.3798,300000
ACBI,-0.2165,0.2965,1700000
ACC,-0.17,0.25,4400000
ACCA,-4.0882,4.1682,150000
ACCD,-0.6315,0.7115,100000
ACCO,-0.2136,0.2936,8900000
ACCR,-0.7865,0.8665,1400000
ACCYY,-0.891,0.971,55000
ACEL,-0.1776,0.2576,400000
ACER,-2.5798,2.6598,100000
ACES,-7.505,7.585,30000
ACET,-1.1585,1.2385,70000
ACEV,-0.3981,0.4781,150000
ACEZ,-1.1848,1.2648,2000
ACFN,-0.8384,0.9184,550000
ACGBY,-2.32,2.4,8000
ACGL,-0.17,0.25,9300000
ACGLO,-10.4281,10.5081,10000
ACGLP,-0.559,0.639,10000
ACGX,-2.4882,2.5682,10000
ACH,-11.0087,11.0887,300000
ACHC,-0.17,0.25,8100000
ACHFF,-13.7854,13.8654,100
ACHV,-3.7616,3.8416,150000
ACI,-39.6777,39.7577,200000
ACIA,-0.4147,0.4947,1200000
ACIC,-0.941,1.021,100000
ACIC U,-0.523,0.603,6000
ACIU,-1.5896,1.6696,900000
ACIW,-0.17,0.25,6900000
ACKAY,-13.1885,13.2685,100
ACKIU,-0.2004,0.2804,200
ACLLF,-0.17,0.25,9000
ACLS,-0.3065,0.3865,2400000
ACM,-0.5194,0.5994,5300000
ACMR,-0.17,0.25,900000
ACN,-0.3747,0.4547,10000000
ACNB,-1.5758,1.6558,150000
ACND,-0.4613,0.5413,5000
ACNE,-2.0725,2.1525,1000
ACNV,-0.8125,0.8925,600000
ACOPY,-24.0538,24.1338,3000
ACOR,-16.113,16.193,20000
ACP,-9.6838,9.7638,100000
ACRDF,-33.9978,34.0778,90000
ACRE,-0.3065,0.3865,700000
ACRHF,-19.1284,19.2084,100000
ACRL,-0.5656,0.6456,4500000
ACRS,-1.6784,1.7584,700000
ACRX,-7.2341,7.3141,900000
ACSAY,-13.802,13.882,1000
ACSI,-1.9999,2.0799,350000
ACST,-7.9528,8.0328,3400000
ACTC,-0.7206,0.8006,80000
ACTCU,-0.17,0.25,25000
ACTG,-0.3065,0.3865,1500000
ACU,-1.0758,1.1558,150000
ACUIF,-14.9641,15.0441,200000
ACUR,-92.0952,92.1752,2000
ACV,-5.6685,5.7485,40000
ACVF,-2.7173,2.7973,500
ACWF,-7.6183,7.6983,1000
ACWI,-0.2062,0.2862,2800000
ACWV,-0.5675,0.6475,5400000
ACWX,-1.0023,1.0823,1900000
ADAP,-2.395,2.475,450000
ADBE,-0.17,0.25,10000000
ADC,-0.17,0.25,900000
ADCT,-0.5501,0.6301,30000
ADDYY,-27.533,27.613,40000
ADELQ.ESC,-1.14,1.22,55000
ADES,-0.6002,0.6802,100000
ADFT,-0.22,0.3,100
ADGO,-0.9671,1.0471,10000000
ADHC,-0.17,0.25,400000
ADI,-0.17,0.25,9200000
ADIA,-1.2281,1.3081,150000
ADIL,-18.8188,18.8988,25000
ADLI,-0.5433,0.6233,4000
ADM,-0.17,0.25,10000000
ADMA,-1.4352,1.5152,950000
ADMP,-19.7163,19.7963,1700000
ADMQ,-2.1375,2.2175,35000
ADMS,-0.2314,0.3114,250000
ADMT,-0.8384,0.9184,1000
ADNT,-0.3065,0.3865,5000000
ADNY,-1.7283,1.8083,500000
ADOM,-50.35,50.43,1200000
ADOOY,-1.0642,1.1442,60000
ADP,-0.3065,0.3865,10000000
ADPT,-0.17,0.25,4900000
ADRE,-3.9231,4.0031,10000
ADRNY,-2.3146,2.3946,150000
ADS,-0.17,0.25,1800000
ADSK,-0.1791,0.2591,6000000
ADSV,-0.7865,0.8665,2300000
ADSYQ,-0.17,0.25,150000
ADT,-0.17,0.25,3000000
ADTC,-11.8802,11.9602,1000
ADTM,-0.5916,0.6716,10000000
ADTN,-0.1796,0.2596,3500000
ADTX,-67.621,67.701,100000
ADUS,-0.17,0.25,1400000
ADV,-8.9261,9.0061,700000
ADVBQ,-2.6772,2.7572,15000
ADVM,-0.3065,0.3865,2300000
ADVNQ,-1.573,1.653,60000
ADVT,-0.22,0.3,40000
ADVZF,-28.0221,28.1021,1000
ADX,-1.0891,1.1691,2900000
ADXM,-0.17,0.25,200000
ADXN,-1.2266,1.3066,500
ADXS,-8.0107,8.0907,1500000
ADYEY,-0.3065,0.3865,850000
ADYX,-2.787,2.867,4000
AE,-1.9032,1.9832,300000
AEB,-4.2219,4.3019,8000
AEBZY,-0.6421,0.7221,150000
AEE,-0.17,0.25,10000000
AEF,-5.5671,5.6471,200000
AEFC,-0.215,0.295,90000
AEG,-0.1741,0.2541,2000000
AEGG,-0.8384,0.9184,100000
AEGN,-0.3335,0.4135,3700000
AEGXF,-0.239,0.319,250000
AEHL,-7.9232,8.0032,900
AEHR,-2.5916,2.6716,200000
AEIS,-0.17,0.25,2000000
AEL,-0.6854,0.7654,9800000
AEL PRA,-3.1858,3.2658,100000
AEL PRB,-12.9931,13.0731,45000
AEM,-0.3576,0.4376,1800000
AEMD,-118.5755,118.6555,55000
AENZ,-1.4727,1.5527,10000
AEO,-0.17,0.25,3900000
AEP,-0.17,0.25,10000000
AEPPL,-0.3917,0.4717,1000000
AEPPZ,-0.753,0.833,20000
AEPT,-2.0985,2.1785,300000
AER,-0.17,0.25,5100000
AERG,-1.8393,1.9193,850000
AERI,-0.7208,0.8008,450000
AERO,-2.5705,2.6505,100000
AES,-0.17,0.25,10000000
AESE,-50.3769,50.4569,650000
AETUF,-0.1716,0.2516,450000
AEXAY,-0.7756,0.8556,100
AEXE,-0.8384,0.9184,10000000
AEY,-2.459,2.539,150000
AEYE,-1.4582,1.5382,350000
AEZS,-12.9653,13.0453,100000
AFB,-8.0099,8.0899,55000
AFBA,-0.17,0.25,200
AFC,-99.5108,99.5908,20000
AFFS,-26.4293,26.5093,75000
AFFT,-0.6436,0.7236,100000
AFFY,-2.6811,2.7611,200000
AFG,-0.17,0.25,2400000
AFGB,-12.9122,12.9922,400
AFGC,-17.5424,17.6224,10000
AFGD,-0.4316,0.5116,93
AFHBL,-13.1792,13.2592,9000
AFHIF,-12.2699,12.3499,700000
AFI,-4.2642,4.3442,1700000
AFIB,-1.1699,1.2499,500000
AFIN,-0.17,0.25,1500000
AFINO,-1.5054,1.5854,10000
AFINP,-14.814,14.894,70000
AFK,-2.2701,2.3501,100000
AFL,-0.17,0.25,10000000
AFLYY,-8.8043,8.8843,20000
AFMD,-0.4147,0.4947,1800000
AFOM,-2.0855,2.1655,10000000
AFPW,-1.488,1.568,10000000
AFSIA,-80.3231,80.4031,40000
AFSIB,-13.1792,13.2592,35000
AFSIC,-38.153,38.233,25000
AFSIM,-0.8384,0.9184,85000
AFSIN,-31.8015,31.8815,30000
AFSIP,-67.0142,67.0942,55000
AFT,-1.2826,1.3626,55000
AFTC,-1.0941,1.1741,1100000
AFTM,-3.0143,3.0943,1100000
AFTPY,-13.1987,13.2787,25000
AFTY,-4.3905,4.4705,1000
AFYA,-0.3028,0.3828,350000
AFYG,-0.22,0.3,100000
AG,-0.534,0.614,1600000
AGBA,-0.9815,1.0615,3000
AGC,-9.4276,9.5076,20000
AGCBF,-17.531,17.611,30000
AGCI.RES,-0.17,0.25,800
AGCI.RSTD,-0.17,0.25,9000
AGCO,-0.17,0.25,4000000
AGCUU,-0.17,0.25,45000
AGD,-1.0913,1.1713,40000
AGDXF,-6.8789,6.9589,100000
AGE,-38.0325,38.1125,350000
AGEEF,-15.7775,15.8575,3000000
AGEN,-0.3426,0.4226,450000
AGESY,-1.8454,1.9254,5000
AGFAF,-20.0792,20.1592,1300000
AGFS,-0.3065,0.3865,2600000
AGG,-0.17,0.25,10000000
AGGFF,-3.6963,3.7763,250000
AGGI,-1.488,1.568,100000
AGGY,-2.7299,2.8099,50000
AGGZF,-0.2162,0.2962,500000
AGHC,-6.6841,6.7641,50000
AGI,-0.55,0.63,2700000
AGIN,-0.8384,0.9184,750000
AGIO,-0.2953,0.3753,1300000
AGLE,-0.3065,0.3865,400000
AGLXY,-2.5539,2.6339,6000
AGM,-0.1946,0.2746,700000
AGM A,-4.9791,5.0591,200
AGM PRC,-71.6897,71.7697,4000
AGM PRD,-30.5974,30.6774,4000
AGM PRE,-14.5056,14.5856,1000
AGM PRF,-13.4257,13.5057,35000
AGMH,-104.1423,104.2223,25000
AGNC,-0.4415,0.5215,10000000
AGNCM,-8.3047,8.3847,150000
AGNCN,-2.4428,2.5228,200000
AGNCO,-11.8489,11.9289,400000
AGNCP,-8.6852,8.7652,550000
AGNPF,-9.0151,9.0951,900000
AGO,-0.17,0.25,5300000
AGO PRB,-56.4895,56.5695,40000
AGO PRE,-22.0652,22.1452,45000
AGO PRF,-144.5717,144.6517,30000
AGOL,-1.5879,1.6679,350000
AGQ,-1.5194,1.5994,550000
AGR,-0.17,0.25,600000
AGRO,-0.4053,0.4853,150000
AGRX,-1.0396,1.1196,450000
AGS,-0.2847,0.3647,900000
AGSO,-4.086,4.166,25000
AGT,-4.4742,4.5542,1000
